City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Fale old settlement,TK,-9.3852,-171.2468,29.02,75,46,4.88,1744681482
1,Saint Paul Harbor,US,57.79,-152.4072,6.73,57,75,6.69,1744681352
2,Nhamundá,BR,-2.1861,-56.7131,23.74,93,75,0.96,1744681482
3,Klyuchi,RU,52.2667,79.1667,8.16,63,100,3.54,1744681482
4,Ålesund,NO,62.4723,6.1549,9.08,61,75,4.63,1744681483
5,Vadsø,NO,70.0744,29.7487,-0.91,80,75,7.2,1744681483
6,Adamstown,PN,-25.066,-130.1015,24.33,83,99,4.75,1744681483
7,Albany,US,42.6001,-73.9662,12.16,60,100,2.02,1744681483
8,Lib,MH,8.3122,167.3766,27.57,79,77,7.93,1744681483
9,Qaraūyl,KZ,48.9451,79.255,5.97,60,100,3.19,1744681483
10,La Passe,FR,45.5549,-0.8967,10.71,88,4,7.16,1744681483
11,Edinburgh of the Seven Seas,SH,-37.0676,-12.3116,18.79,97,100,10.28,1744681484
12,Meadow Lakes,US,61.6247,-149.6011,8.54,45,75,3.6,1744681484
13,Waitangi,NZ,-43.9535,-176.5597,13.79,65,100,3.58,1744681484
14,Port-aux-Français,TF,-49.35,70.2167,9.02,94,100,12.18,1744681484
15,Grand-Lahou,CI,5.1367,-5.0242,26.39,90,82,3.88,1744681484
16,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,16.33,25,0,5.0,1744681484
17,Labytnangi,RU,66.6572,66.4183,-7.12,94,99,3.6,1744681484
18,Bathsheba,BB,13.2167,-59.5167,26.34,83,40,6.17,1744681485
19,Vilyuchinsk,RU,52.9306,158.4028,17.15,74,73,2.36,1744681485
20,Bilibino,RU,68.0546,166.4372,-6.0,85,95,1.33,1744681485
21,Ambovombe,MG,-25.1667,46.0833,23.81,82,2,1.9,1744681485
22,Alta,NO,69.9689,23.2717,-0.41,86,40,4.63,1744681485
23,Berdigestyakh,RU,62.0989,126.6992,-5.28,81,100,4.88,1744681485
24,Hobyo,SO,5.3505,48.5268,28.46,71,99,5.69,1744681485
25,El Calafate,AR,-50.3408,-72.2768,8.04,91,100,1.24,1744681485
26,Cole Harbour,CA,44.6724,-63.4751,3.29,86,100,10.29,1744681486
27,Urangan,AU,-25.3,152.9,24.34,62,0,10.02,1744681486
28,Ribeira Grande,PT,38.5167,-28.7,12.65,81,11,2.68,1744681486
29,Yellowknife,CA,62.456,-114.3525,3.29,60,100,5.66,1744681486
30,Inhambane,MZ,-23.865,35.3833,24.22,85,0,3.44,1744681486
31,Talnakh,RU,69.4865,88.3972,-12.77,93,100,2.01,1744681486
32,Luganville,VU,-15.5333,167.1667,30.24,72,89,1.38,1744681486
33,Ilulissat,GL,69.2167,-51.1,-5.99,79,100,0.0,1744681487
34,Ust-Nera,RU,64.5667,143.2,-4.22,86,100,2.22,1744681487
35,Bonawon,PH,9.134,122.9193,30.05,67,45,1.6,1744681487
36,Zhosaly,KZ,45.4878,64.0781,11.68,51,0,3.75,1744681487
37,Nambucca Heads,AU,-30.65,153.0,21.23,83,14,8.47,1744681487
38,Arrondissement de Mamers,FR,48.3333,0.25,11.0,95,100,2.51,1744681488
